,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,학번,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,대학원출신,학생소속대학명_경영대학,학생소속대학명_공과대학,학생소속대학명_법과대학,학생소속대학명_보건과학대학,학생소속대학명_생명과학대학,학생소속대학명_심리학부,학생소속대학명_의과대학,학생소속대학명_이과대학,학생소속대학명_정경대학,학생소속대학명_정보대학,학생교육부계열_공학,학생교육부계열_인문·사회,학생교육부계열_자연과학,성별_1,성별_2,입학과정_외국인,입학과정_정원내신입학,입학과정_정원외-계약학과,입학과정_편입학석사(3학기),입학과정_편입학통합(4학기),입학과정_학연산협동과정,학적_졸업,학부출신_자교,학부출신_타교,졸업에걸린기간
133,133,133,5105,AAHMvcunZzTxl/1t9MRspbK0,화공생명공학과,화공생명공학전공,AAFusQhKNZAOH5aykCeK8qQL,KOR,석·박사통합과정,2021,1R,19950921,2021,2R,4.5,6,50330000,54.5,38.25,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,7
134,134,134,5110,AAFjOIrPZS5YbWQV9KMg0SAv,화학과,유기화학전공,AAHoKX9pkxpJ3RC1knPkTDFM,KOR,석·박사통합과정,2019,1R,19931201,2021,2R,4.34,6,110300000,48,35,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,11
135,135,135,5111,AAGCl7UztZ7Nh0n8uQlUEwL8,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,KOR,석·박사통합과정,2018,1R,19930208,2021,2R,4.25,6,129770968,57,40,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
136,136,136,5114,AAG2R/8ZINtjO1IucDdff0KQ,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,KOR,석·박사통합과정,2018,1R,19911130,2021,2R,4.39,6,122989299,52,33,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
137,137,137,5119,AAG2sqljL5j2txCOas4LWOSF,환경생태공학과,환경계획및조경학전공,AAGOspWKpjwv00sPBrh+ZRe+,KOR,석·박사통합과정,2020,1R,19910402,2021,2R,4.08,6,105438005,44.67,46.33,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,9
138,138,138,5120,AAHL/o6WLSgmzbC0U2XnUAMb,뇌공학과,뇌공학전공,AAFXDlCEmJaJSYNPVqccDMZx,KOR,석·박사통합과정,2018,1R,19900512,2021,2R,4.21,6,299786475,43,44,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,13
139,139,139,5122,AAHvdBpneDzwGRk6QrO/GEt0,전기전자공학과,통신 및 네트워크전공,AAEDRkBX7/Ql8YY92VjxsLch,KOR,석·박사통합과정,2018,1R,19910524,2021,2R,4.36,6,126887000,42.6,41.8,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
140,140,140,5124,AAH9pXoWbrH9IrX/2yiWYcvM,법학과,상법전공,AAGy0qCzwwAtJbn7rcwu3s9c,KOR,석·박사통합과정,2020,1R,19650810,2021,2R,4.36,7,,40,43.3,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,10
141,141,141,5133,AAGINNU26dpFfhV0Xu3JbI8Z,신소재공학과,신소재공학전공,AAHVMQxXZzh89KjrTenp6nPf,KOR,석·박사통합과정,2021,1R,19931025,2021,2R,3.69,8,,56,32,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,9
142,142,142,5135,AAFRCq3ST3jhWIR9hE8RzQM8,컴퓨터학과,컴퓨터교육전공,AAG7NvMi4LDLMT/URLwSoU1A,KOR,석·박사통합과정,2020,1R,19850409,2021,2R,4.08,6,22000000,48.3,48.3,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,9
143,143,143,5169,AAEds1PVbkkh3QeeDa+L3tjD,컴퓨터학과,소프트웨어전공,AAFhFZgfCHdQkb82RLLU/geO,KOR,석·박사통합과정,2018,2R,19900820,2021,2R,4.36,6,170000000,49,49,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,12
144,144,144,5171,AAGWrRAofZ6jPVReHurDpR0J,화공생명공학과,화공생명공학전공,AAFusQhKNZAOH5aykCeK8qQL,KOR,석·박사통합과정,2018,2R,19920719,2021,2R,4.33,6,88502800,57.67,34.33,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,12
145,145,145,5172,AAHtwHQbLcbPgFPkQWYLTi+b,화공생명공학과,화공생명공학전공,AAG3UgRiZnI8ns5BXTcxNxGC,KOR,석·박사통합과정,2018,2R,19910219,2021,2R,4.14,6,102018580,56.67,37.33,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,12
146,146,146,5173,AAEOdhNIHWn8RSBuZ7NuiW4W,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,KOR,석·박사통합과정,2018,2R,19890923,2021,2R,4.13,6,129045566,54.33,33.67,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,12
147,147,147,5174,AAEeLzOwBngVYjv5c0gLLuBv,화공생명공학과,화공생명공학전공,AAGG7IhUZDZBJWEpoDSv+a2p,KOR,석·박사통합과정,2018,1R,19921117,2021,2R,4.17,6,150005448,50,39.5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
148,148,148,5175,AAH3mmq1JNIwbP21OGLQ/4r2,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,KOR,석·박사통합과정,2018,1R,19890918,2021,2R,4.04,6,64912500,50,31.5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,13
149,149,149,5176,AAHASANEpgDSyziT0dBDmf3Z,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,KOR,석·박사통합과정,2018,1R,19901218,2021,2R,4.23,6,134265000,40,38.5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
150,150,150,5177,AAFFzuEcbSkUCA0J6nTDkyJu,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,KOR,석·박사통합과정,2018,1R,19920911,2021,2R,4.33,6,137635000,57,39.5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
151,151,151,5178,AAHEqgqk8Q8fiqmsTA7BXISC,화공생명공학과,화공생명공학전공,AAGaCMeTjNaKuSWvzyinL5sl,KOR,석·박사통합과정,2018,1R,19911224,2021,2R,4.43,6,156648286,50,36.5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
152,152,152,5184,AAF/alpBv6zvKWfRCRaxruTn,생명과학과,분자생물학전공,AAE/8JlgUig1ptLW4mromlar,KOR,석·박사통합과정,2018,1R,19900705,2021,2R,4.16,6,91598000,46,47,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,13
153,153,153,5196,AAEgZ/1AdpeKbpSNfZF6/AmI,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,KOR,석·박사통합과정,2019,1R,19911017,2021,2R,4.13,7,197891165,57,40,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,12
154,154,154,5198,AAHUyKJ5e5zYkV9UUvN/pQYp,환경생태공학과,수질및토양환경전공,AAEQRK01cpypBZKmzeaZ/Ayl,KOR,석·박사통합과정,2018,2R,19860314,2021,2R,4.14,6,100364000,49,49,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,12
155,155,155,5200,AAH8nywB0sCviHb+B2c9RZAz,환경생태공학과,수질및토양환경전공,AAEQRK01cpypBZKmzeaZ/Ayl,KOR,석·박사통합과정,2018,2R,19900729,2021,2R,4.18,6,137474000,47,47,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,12
156,156,156,5201,AAGIcbzEZr9Qxzohh08z0keQ,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,KOR,석·박사통합과정,2018,2R,19920911,2021,2R,4.34,6,102907168,55.67,34.33,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,12
157,157,157,5208,AAGEDvnZy4hfHJLPCCwizArX,산업경영공학과,산업경영공학전공,AAGtJM3euCvvqb5hTFq1uzz2,KOR,석·박사통합과정,2019,1R,19911124,2021,2R,4.37,6,56200000,40,46,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,11
158,158,158,5233,AAEg0YGDQctjTQREkjmuJZaI,물리학과,양자광학전공,AAEVfpRfGLiK/c12ougxtvee,KOR,석·박사통합과정,2019,1R,19910211,2021,2R,4.28,8,121416000,38.2,50,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,13
159,159,159,5234,AAESbzmb0oPJ1aMofd7GQEgZ,물리학과,양자광학전공,AAEVfpRfGLiK/c12ougxtvee,KOR,석·박사통합과정,2019,1R,19920730,2021,2R,4.39,8,122350000,38,60,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,13
160,160,160,5235,AAEz+K566cMa8j4D0zzP6cZL,물리학과,고체물리학전공,AAHNywZa5KuyqeHEowWtm9cL,KOR,석·박사통합과정,2019,1R,19880309,2021,2R,3.75,8,93500000,38.5,58,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,13
161,161,161,5237,AAEBO3kHJ6kx/szY7HXHp+rX,화학과,유기화학전공,AAFB7thmJVqSI92XpAo42Phl,KOR,석·박사통합과정,2018,2R,19940218,2021,2R,4.24,7,72410000,35,42,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,13
162,162,162,5265,AAHTOufEir0mLzaWMedFQFU0,의과학과,의생명과학전공,AAHxQ1hQVwWlLXTencZd1BX0,KOR,석·박사통합과정,2019,1R,19901111,2021,2R,4.14,6,84200000,35.7,37,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,11
163,163,163,5271,AAGzwYQ37yKN+07nl0sh9sh7,경영학과,회계학전공,AAFUskYfXs18x56mDz1cSsZn,KOR,석·박사통합과정,2019,2R,19850909,2021,2R,4.39,7,15600000,38.8,56,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,11
164,164,164,5277,AAG24YwTUc3DuTvV3HN7i6c2,화학과,고분자화학전공,AAF0qXezmiAbARO18bGcQ7bI,KOR,석·박사통합과정,2020,1R,19881125,2021,2R,3.84,8,132016000,46,48.5,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,11
165,165,165,5284,AAHaxeFLaCJqAlvn5ns7G1gE,의과학과,의생명과학전공,AAG3qKWSE1FFL5Z5/gHBKI/5,KOR,석·박사통합과정,2018,1R,19881113,2021,2R,4.33,6,88040000,38.6,42.3,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,13
166,166,166,5285,AAGl5S3WLlH76LMW2h5YMCke,의과학과,의생명과학전공,AAHzpx1p8EfDMr+T62A8GHGA,KOR,석·박사통합과정,2018,1R,19910927,2021,2R,4.14,6,57900000,41,39.3,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,13
167,167,167,5300,AAEWDibFZ80LAUD/22WzNct5,의과학과,의생명과학전공,AAHDSMD+yP/Lx/iQ/sK7JN3a,CHN,석·박사통합과정,2019,1R,19910428,2021,2R,4.08,6,85900000,85,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,11
168,168,168,5306,AAE13fsGwmtNEZMsFWehLpWN,뇌공학과,뇌공학전공,AAFLXiapCRRbBvxf4mUmKRYR,KOR,석·박사통합과정,2019,2R,19920320,2021,2R,4.35,6,118275218,50,46,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,10
169,169,169,5309,AAE1HqqmBgydPKT05qnKYMU5,컴퓨터학과,소프트웨어전공,AAGoCHZwiePFcGa9VMEqyZO9,KOR,석·박사통합과정,2019,1R,19931222,2021,2R,4.44,6,94033939,49,49,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,11
170,170,170,5318,AAFd/V1lAp1V6t7Z0Nxi1BD5,물리학과,비선형동력학 및 생물물리학전공,AAF5cLSeFPDQKyLoD6YCm1zg,KOR,석·박사통합과정,2019,2R,19920403,2021,2R,4.05,7,102463230,40,50,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,11
171,171,171,5323,AAHycUCXtFSb1/2tlJWUNLwx,화학과,유기화학전공,AAGo9rBbww79qUMN3dh1Tg2K,KOR,석·박사통합과정,2020,1R,19920629,2021,2R,3.68,8,100062000,38,41.5,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,11
172,172,172,5324,AAF6Vn82/6CafE7aj7evipSh,생명공학과,분자생체공학전공,AAG4SpLeg0KMYB0wAsJNR1ow,KOR,석·박사통합과정,2018,1R,19891014,2021,2R,4.37,6,36640000,48,46.9,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,13
173,173,173,5330,AAFANaz4EEk0m49RbB+WY5AN,건축사회환경공학과,사회인프라전공,AAGrzQY08cilgBg2Vakpt/nx,KOR,석·박사통합과정,2018,1R,19920202,2021,2R,4.05,6,183911348,47,45.67,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
174,174,174,5331,AAHH+IEVwxomDbKvVZVDv9NR,건축사회환경공학과,사회인프라전공,AAHc+0P1uuuM9uwKFqwm5JxB,KOR,석·박사통합과정,2018,1R,19921231,2021,2R,4.37,6,192235000,45,41.33,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
175,175,175,5333,AAGrNObw6MtwEXWbeFCBRNoJ,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2020,1R,19960130,2021,2R,4.36,6,81600200,48.3,48.6,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,9
176,176,176,5338,AAH4BSIZBP/vAgkL+MqvTIHx,식물생명공학과,식물 유전 공학 전공,AAGxQXkQ58ix3nRr8wBfpEFD,VNM,석·박사통합과정,2019,2R,19930417,2021,2R,4.5,6,71620000,98,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,10
177,177,177,5339,AAGWsD8Y81VDoHkY3Y1507m/,식물생명공학과,식물 유전 공학 전공,AAGxQXkQ58ix3nRr8wBfpEFD,VNM,석·박사통합과정,2019,2R,19930414,2021,2R,4.5,6,61490000,99,,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,10
178,178,178,5356,AAH8RkVQl97awW9RQkppIaPN,의과학과,의생명과학전공,AAFZN7QRRXoGyvP+pJZuQhuw,KOR,석·박사통합과정,2020,2R,19920603,2021,2R,4.14,6,36800000,37,38.67,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,8
179,179,179,5357,AAE1WKJAkFOYBBwoBdxEuKXw,보건과학과,환경보건학전공,AAGOovrVcNz2VQ60TLb+twag,KOR,석·박사통합과정,2018,1R,19870803,2021,2R,4.14,6,170631586,41.3,40.3,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,13
180,180,180,5369,AAFHBDv5pTkMBOaGEgOZO80d,산업경영공학과,산업경영공학전공,AAF5ukSjmVhKqW326vTF81ef,KOR,석·박사통합과정,2019,2R,19910928,2021,2R,4.14,6,76334676,40.33,41.67,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,10
181,181,181,5373,AAEqyX0CrFXWwEu3KcWbOoUo,전기전자공학과,통신 및 네트워크전공,AAEssPEiUNe/wYugrxd+fnX2,KOR,석·박사통합과정,2019,1R,19911201,2021,2R,4.17,6,135890407,39.3,38.2,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,11
182,182,182,5383,AAF/wlrjPitSoDkBHcKJXSD5,의생명융합과학과,임상병리학전공,AAHWkyOWoBDEBjZH1TNXQnXj,KOR,석·박사통합과정,2019,2R,19930215,2021,2R,4.11,6,7500000,37,48,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,10
183,183,183,5384,AAF8P6pedx6PvcMsFC6w6dM6,바이오융합공학과,바이오융합공학전공,AAFs9+l6a/a8qr925OtyHe9U,KOR,석·박사통합과정,2019,2R,19930510,2021,2R,4.05,6,102568000,46,41,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,10
184,184,184,5385,AAGA/rH260HMRqDTz+4sSNz8,컴퓨터학과,소프트웨어전공,AAFhFZgfCHdQkb82RLLU/geO,KOR,석·박사통합과정,2019,2R,19880222,2021,2R,4.39,6,129930000,49.4,48.6,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,10
185,185,185,5416,AAEBDkczcDsa4Lera/BgIKCz,법학과,지적재산권법전공,AAGxdRvbQkm+4SDTFodzGz3y,KOR,석·박사통합과정,2021,1R,19711125,2021,2R,4.5,6,,33.1,55,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,7
186,186,186,5417,AAHxxwqJcdryk8VeKdG+Vauu,생명과학과,생화학전공,AAFCs6risgpKldWv4DMEijrV,KOR,석·박사통합과정,2019,1R,19921003,2021,2R,4.31,6,61990000,49,47.8,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,11
187,187,187,5419,AAGXI90OCBVd0zEtCjPHYkrF,신소재공학과,신소재공학전공,AAFrKRhc4pBNk+lwpuzAzJxf,KOR,석·박사통합과정,2019,2R,19910930,2021,2R,4.22,6,114666000,58,37,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,10
188,188,188,5420,AAFfAaecte53tg8tLAIGhQkd,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,KOR,석·박사통합과정,2019,1R,19900801,2021,2R,4.18,6,87655000,53,34,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,11
189,189,189,5436,AAGiVTRMlx5iPG1sKIHij/sL,의과학과,의생명과학전공,AAFNsWx/tG20MskixpMFJzte,KOR,석·박사통합과정,2018,2R,19900521,2021,2R,4.19,6,132700000,45.7,47,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,12
190,190,190,5437,AAHx/Of3A2hlmZwdh8vR7Ifg,의과학과,의생명과학전공,AAGoJfVvGfNEJItB01cbjNOs,KOR,석·박사통합과정,2018,2R,19890731,2021,2R,4,6,116400000,46.7,45.3,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,12
191,191,191,5438,AAHMl4gG13b7uplXTMw+CIJn,의과학과,의생명과학전공,AAE8l4A/Yi6tn50GJ0JwUvik,NPL,석·박사통합과정,2018,2R,19910111,2021,2R,4.31,6,108000000,95,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,12
192,192,192,5456,AAEsECbwpi+INupmZ8eJeKiC,신소재공학과,신소재공학전공,AAE4RWtRb5Aywzq18+9py2WY,KOR,석·박사통합과정,2018,2R,19920430,2021,2R,4.14,6,95420000,59,40,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,12
193,193,193,5459,AAHIh3wpbue1KCJcKUwt7CTL,통계학과,수리통계학전공,AAFByAeboAfDls9tYCKfCcfP,KOR,석·박사통합과정,2020,2R,19900923,2021,2R,4.39,7,49790000,46,46.3,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,9
194,194,194,5468,AAEbrWe2ggd60Pp9Oibob+8/,환경생태공학과,생물재료공학전공,AAEiUBHWTaydfuUlbPpdXZPj,KOR,석·박사통합과정,2019,1R,19931027,2021,2R,4.38,6,144000465,48,48.67,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,11
195,195,195,5491,AAEn+M/kKNqtW6ru9vuhITKv,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFj8wKRZTXkoQ3FcBubZYe+,KOR,석·박사통합과정,2018,1R,19881101,2021,2R,4.06,6,101615000,43,45,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,13
196,196,196,5510,AAFlUSjzpQ04dUXdqqfSfrBi,생명공학과,분자생체공학전공,AAGHKhtTRVM2izkG1lKId0XM,KOR,석·박사통합과정,2020,1R,19940706,2021,2R,4.43,6,112970000,42,47.6,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,9
197,197,197,5519,AAGeKweYchptOlofKGfz4qZA,의과학과,의생명과학전공,AAHxQ1hQVwWlLXTencZd1BX0,CHN,석·박사통합과정,2019,2R,19920105,2021,2R,4.11,6,93500000,85,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,10
198,198,198,5537,AAGZCUkzXrcWvF+zyA0aexoX,기계공학과,기계공학전공,AAGMb99a8ba3R0Wqe3C95yqe,KOR,석·박사통합과정,2018,1R,19900314,2021,2R,4.33,6,178480511,49.5,49.5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,13
199,199,199,5540,AAGOo0g0uyiPs2QAOOKcsWTj,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,KOR,석·박사통합과정,2019,1R,19930405,2021,2R,4.21,6,125583043,60,37.1,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,11
200,200,200,5571,AAG/y18WS4SwKmWB+MsWSLYa,컴퓨터·전파통신공학과,전파통신공학전공,AAGx+syfEJz2i7IEqqI92pvU,KOR,석·박사통합과정,2019,1R,19910713,2021,2R,4.39,6,72170000,44,44,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,11
