Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신
3,3,122,AAHAsJVv6TMImBEIos+p9QQl,공과대학,공학,2,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19910210,2020,1R,4.19,10.0,,46.5,48.1,타교,
7,7,338,AAFt2Ih4hbas8HWBH70ZK/Kx,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,2R,19910930,2020,1R,4.17,8.0,,39.3,38.1,타교,
8,8,346,AAEtXDclBtE4/D+7Bhaaar7p,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,1R,19910810,2020,1R,4.44,8.0,61720638.0,45.9,42.9,자교,
11,11,381,AAFQAXiJRLYV9jhshEfBthoi,공과대학,공학,1,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900817,2020,1R,4.06,10.0,77936000.0,42.0,43.0,자교,
12,12,403,AAFRGdJwIVydeCaCnzjeI8wp,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFi4juzPESAU71QzFVv2xel,korean,석·박사통합과정,2018,1R,19911029,2020,1R,4.39,10.0,114520000.0,57.0,38.0,자교,
13,13,786,AAF6OkhXqfriyj6es1UnpDTU,공과대학,공학,1,편입학통합(4학기),졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2016,2R,19820301,2017,1R,4.14,7.0,,49.0,39.0,타교,
14,14,2336,AAERPnDIXeS0PahOUMQZu+xX,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석·박사통합과정,2018,1R,19920824,2019,1R,4.0,8.0,68509388.0,50.0,33.5,자교,
16,16,2408,AAFNvUe0kLmgAf9Men/DupBq,공과대학,공학,1,편입학석사(3학기),졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2017,1R,19881113,2019,1R,4.42,10.0,,49.0,49.0,타교,타교
19,19,2441,AAHeAJT8IYE9tghE5xR1Fp0j,공과대학,공학,1,정원외-계약학과,졸업,나노반도체공학과,나노반도체재료및소자전공,AAFOnXyI9jipyy9a/FKtt3pd,korean,석·박사통합과정,2018,1R,19900805,2020,1R,4.36,10.0,40226000.0,48.0,45.0,자교,
20,20,2565,AAHhbsVjIe6Ui1lDAHMXH7ku,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900508,2019,1R,4.25,8.0,,44.5,43.9,타교,
24,24,3169,AAGTW1Qwphzw3bxehIv24tpb,공과대학,공학,1,정원외-계약학과,졸업,IT융합학과,IT융합전공,AAEjhMsY958qKCUYKbgm7g0N,korean,석·박사통합과정,2018,1R,19890401,2020,1R,4.28,10.0,98320000.0,47.33,46.0,자교,
25,25,3246,AAEu5d6Sjc3CDvBijOKhFSRB,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석·박사통합과정,2018,1R,19911024,2020,1R,4.19,10.0,118313449.0,41.8,41.7,자교,
27,27,3327,AAHEb4TbhR6zEOeFqr/H4ceq,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAG/k5m8JyuxBPC7I/vkq0VW,korean,석·박사통합과정,2018,1R,19881120,2019,2R,4.08,9.0,126071418.0,49.33,46.33,자교,
29,29,3361,AAEM2MZf9CZXqViVLfFd5tqi,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAG/k5m8JyuxBPC7I/vkq0VW,korean,석·박사통합과정,2018,1R,19911226,2019,2R,4.18,9.0,126071418.0,49.0,48.67,타교,
31,31,3463,AAHQa0uwrQxP8F3w5nhfjZ8T,공과대학,공학,2,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19911009,2019,2R,4.17,9.0,49600000.0,42.0,44.0,타교,
32,32,3494,AAFvKFSvOzgxd8HilfNrfNJi,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFgFJdHtItomDhzhC+rjvBq,korean,석·박사통합과정,2018,1R,19900806,2019,2R,4.44,9.0,88800000.0,53.0,34.0,자교,
34,34,3581,AAGLsSAx33Jh5fFx0KoOQNC+,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19880711,2020,2R,4.36,11.0,,43.1,42.2,타교,
35,35,3582,AAFcGOnXW65AvsjvEH4jILA5,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAGtJM3euCvvqb5hTFq1uzz2,korean,석·박사통합과정,2018,1R,19880702,2020,2R,4.19,11.0,26100000.0,40.0,45.33,타교,
36,36,3592,AAEeDTrdMcG9B5NMmYDsKsUB,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFOnXyI9jipyy9a/FKtt3pd,korean,석·박사통합과정,2018,1R,19901204,2020,2R,4.25,11.0,114916000.0,54.0,34.0,자교,
37,37,3594,AAEw2H469LtDx41ZmBXTPuso,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAEg0pRgP/AA4MDAFJDKct5i,korean,석·박사통합과정,2018,2R,19930226,2020,2R,4.17,11.0,77855230.0,51.0,33.0,자교,
40,40,3607,AAHha9SQIFK3yVXExmGhbegi,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,지진방재전공,AAGCqxpkl1TslVbWwzL7IA5K,korean,석·박사통합과정,2019,1R,19920907,2020,2R,4.11,11.0,130397000.0,48.33,44.0,자교,
49,49,3762,AAEOX1bgJb8ItVqr6yT0R7un,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,전기에너지,AAFa0n41YacK09cpuBFoETAk,korean,석·박사통합과정,2018,1R,19920502,2020,2R,4.33,11.0,184257560.0,40.2,41.1,타교,
51,51,3776,AAEskKU/y7o2kNe0SCEJfilu,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAG9vgWMRYHtNalVfeopzK5v,korean,석·박사통합과정,2019,1R,19911120,2020,2R,4.36,9.0,150801400.0,48.8,49.0,자교,
52,52,3838,AAFFh5WTdfWv4NAO3UIZF6p8,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFukyr7xBbs8UJxDmTihFIk,korean,석·박사통합과정,2019,1R,19920313,2020,2R,4.42,9.0,122670704.0,46.1,43.3,자교,
53,53,3844,AAF86sWLCi1Wt+F4hl1I0Qj4,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,1R,19930517,2020,2R,4.28,9.0,69159790.0,39.4,38.7,자교,
54,54,3865,AAGsb2pxE2CaKvBUudfSxTuo,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAFT5aAQWoSTjHQ9sbU7sw8f,korean,석·박사통합과정,2018,1R,19900705,2020,2R,4.26,11.0,82386262.0,56.0,39.5,자교,
62,62,3941,AAHuD3oQ3cs9tQiMFSKzxdiD,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAFCjzX9qe0W7xkpRbHTLFPT,korean,석·박사통합과정,2018,1R,19911016,2020,2R,4.11,11.0,60696000.0,46.8,47.0,자교,
63,63,3974,AAFqLwEqeKYY2a5E0Q88wyTW,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,석·박사통합과정,2019,1R,19890113,2020,2R,4.06,9.0,,47.0,32.5,타교,
64,64,3982,AAEwxSFWidVHne2/ghjmREl6,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHbfpe13iYQFP6H7+l+dBws,korean,석·박사통합과정,2019,2R,19920702,2020,2R,4.22,9.0,97275000.0,60.0,29.8,자교,
69,69,4169,AAF4NNTwZB40GeSI+gh5yhJz,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,2R,19920113,2020,1R,4.31,9.0,3700000.0,46.0,47.0,자교,
70,70,4256,AAFoj6HPl6RQNm7xJ6CMFnVw,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHInk8/FePfBTaicVyxuepA,korean,석·박사통합과정,2018,1R,19901115,2021,1R,4.14,12.0,76237277.0,52.0,39.5,자교,
71,71,4257,AAGYglbhaL8khGm5koBVpC6U,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAFT5aAQWoSTjHQ9sbU7sw8f,korean,석·박사통합과정,2018,1R,19920731,2021,1R,4.27,12.0,165845000.0,60.0,37.5,자교,
72,72,4269,AAH0cambjVyOn9yPQzT1K+Re,공과대학,공학,2,정원내신입학,졸업,기계공학과,기계공학전공,AAFj8wKRZTXkoQ3FcBubZYe+,korean,석·박사통합과정,2018,1R,19870929,2021,1R,4.08,12.0,101840800.0,46.0,46.0,타교,
73,73,4273,AAFRDuYJ6xtPZLfKujDlDiNE,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,석·박사통합과정,2019,1R,19880416,2021,1R,4.14,10.0,136000000.0,48.0,31.0,자교,
74,74,4280,AAE5PONwLJE9FFptV75rBo0L,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,석·박사통합과정,2018,1R,19900515,2021,1R,4.17,12.0,166919785.0,50.0,32.0,자교,
75,75,4284,AAG7nJvyBdDDtGOUvlR19gfQ,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2020,1R,19920404,2021,1R,4.42,8.0,68848000.0,40.7,41.5,타교,
76,76,4288,AAHUpNWcjOVHKVTdJLNUwX37,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAEYVfsfVhIHnbTEKHsFv2Gf,korean,석·박사통합과정,2018,2R,19921010,2021,1R,4.17,12.0,40503000.0,42.0,48.33,자교,
77,77,4289,AAF8qJxPJu8SmCdqU07ufGsy,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFD3xbYP2/G9DXqA0Ck4KRi,korean,석·박사통합과정,2018,1R,19930228,2021,1R,4.28,12.0,141182407.0,42.33,46.0,자교,
78,78,4291,AAE++89Z+OcpUq2/TF6CMVw/,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,2R,19890803,2021,1R,4.31,9.0,58155000.0,45.3,45.2,타교,
79,79,4320,AAFZuBS6PQCE8/1KPrA+HOyw,공과대학,공학,2,외국인,졸업,건축사회환경공학과,사회인프라전공,AAEP/2yd50S/t/rqhY+2hT05,foreigner,석·박사통합과정,2019,1R,19900609,2021,1R,3.95,12.0,57297902.0,98.0,,타교,
83,83,4347,AAEreVdnffN0X69AgSAFuoFy,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAHnXim9e1JoSxJhPUZ6r+Y+,korean,석·박사통합과정,2019,2R,19911012,2021,1R,4.28,12.0,207823424.0,45.5,45.5,자교,
86,86,4410,AAEEDWd2yffydURLA7vpwUBX,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAEQeczXMHprDJeLute9KZ4D,korean,석·박사통합과정,2021,1R,19730101,2021,1R,4.32,6.0,,34.0,54.0,타교,
90,90,4481,AAHLuEnEaRTAHcX1ZOnSVSS0,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAGMlJxfOORPzbzO8WPFu09N,korean,석·박사통합과정,2020,1R,19820126,2021,1R,4.31,8.0,,44.5,44.5,타교,
92,92,4490,AAEt/dsOXJNhqhzIEuAhOyWe,공과대학,공학,1,학연산협동과정,졸업,바이오마이크로시스템기술협동과정,바이오마이크로시스템기술전공,AAEjhMsY958qKCUYKbgm7g0N,korean,석·박사통합과정,2019,1R,19900218,2021,1R,3.75,12.0,,55.0,38.67,타교,
96,96,4539,AAEnYlEsa6uAk0unnY6C3TxI,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAGioczb0MZcdiThVufZfhjq,korean,석·박사통합과정,2018,1R,19920201,2021,1R,4.47,12.0,161595472.0,45.5,41.8,자교,
97,97,4548,AAG/n1vRdVtqStyI3CbCpwqt,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900216,2021,1R,4.15,12.0,,48.1,47.2,타교,
98,98,4550,AAHyOEaCWV3zzkOSXhAkGMy5,공과대학,공학,1,정원외-계약학과,졸업,IT융합학과,IT융합전공,AAE9GAgYnBT76ywUf8EXt/Yl,korean,석·박사통합과정,2018,1R,19890909,2021,1R,4.08,12.0,75311502.0,46.33,43.33,자교,
101,101,4589,AAEdQg9WnJtF7ux6DJXAAQO7,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAGf8vYauYE4gGkoGe41B95E,korean,석·박사통합과정,2019,1R,19921227,2021,1R,4.34,10.0,103324370.0,48.0,46.67,자교,
104,104,4596,AAFj72rBxPHaWbHCNseE8gJG,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEDRkBX7/Ql8YY92VjxsLch,korean,석·박사통합과정,2018,2R,19900719,2021,1R,4.39,12.0,119833667.0,47.3,45.8,자교,
105,105,4598,AAG5hOGd0nKGz5UDAMhJXlCk,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEssPEiUNe/wYugrxd+fnX2,korean,석·박사통합과정,2018,2R,19930228,2021,1R,4.5,12.0,132624602.0,47.4,44.9,자교,
106,106,4602,AAGOSfhQxN1AwzCT3j+v1i2Z,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAG3Do5GFC741fyNHG0xL5GU,korean,석·박사통합과정,2018,1R,19901205,2021,1R,4.14,12.0,149018645.0,40.3,42.4,자교,
108,108,4634,AAGqEQNZQ0twxga8KRU/BN6z,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAGopWa0c7/Rh6S3QHrGGKvP,korean,석·박사통합과정,2019,2R,19930512,2021,1R,4.29,9.0,118960000.0,47.0,47.0,자교,
114,114,4695,AAEYBpJC90Bzy/0BW/lUk9G3,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAFptwmanjlLzXaPDP6w+HhG,korean,석·박사통합과정,2018,1R,19920707,2021,1R,4.44,12.0,72345000.0,43.1,42.8,자교,
115,115,4696,AAEaNLQQoDNRfJfsayQwsTz3,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAGeqJDzBjy+KGfL5UY+9TIp,korean,석·박사통합과정,2018,1R,19890110,2021,1R,4.11,12.0,175180031.0,36.7,38.8,타교,
116,116,4697,AAHZhFCQGBgeDT1/ErUwORA2,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석·박사통합과정,2018,1R,19921029,2021,1R,4.22,12.0,133667812.0,46.3,43.5,자교,
118,118,4736,AAGjVzgNQSNQI4HSptGUFqjD,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,korean,석·박사통합과정,2018,1R,19900418,2021,1R,4.25,12.0,110250000.0,44.0,27.0,타교,
119,119,4740,AAEgg17iJuyEEWVtmCC2mhfj,공과대학,공학,1,학연산협동과정,졸업,신소재공학과,신소재공학전공,AAHMngiUwqKD8mqXyCpl4RdA,korean,석·박사통합과정,2018,2R,19901213,2021,1R,4.22,11.0,,57.0,37.0,타교,
120,120,4741,AAHeRIeoNVafHt8JoKPLype7,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2018,2R,19920424,2021,1R,4.33,11.0,111163390.0,57.0,39.0,자교,
121,121,4754,AAEe2vQ08DGC3TuSOsbw9jvi,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAHMngiUwqKD8mqXyCpl4RdA,korean,석·박사통합과정,2018,1R,19900102,2021,1R,4.11,12.0,28170000.0,48.0,28.0,타교,
126,126,4872,AAHEE8ecDL+5wavajEgrlbax,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,기후 및 에너지공학전공,AAF3gwz/EroDu8ymIDNVRNmZ,korean,석·박사통합과정,2018,1R,19890502,2021,1R,4.26,12.0,123823160.0,45.33,44.0,타교,
128,128,4880,AAEftl4dGTjHYc8SB3nTAQml,공과대학,공학,2,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAE/vvg7RqvrU/xhKeyCSz8z,korean,석·박사통합과정,2018,1R,19921216,2021,1R,4.24,12.0,124658118.0,51.0,36.5,자교,
129,129,4885,AAEjZpTjEev6Qn9Nvl+Xwro9,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHInk8/FePfBTaicVyxuepA,korean,석·박사통합과정,2018,1R,19910212,2021,1R,4.2,12.0,81634560.0,54.0,39.5,자교,
132,132,5039,AAETHnzyjBDi9e/3n5ASa39S,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFukyr7xBbs8UJxDmTihFIk,korean,석·박사통합과정,2018,2R,19901001,2021,1R,4.39,11.0,,49.2,48.3,타교,
133,133,5105,AAHMvcunZzTxl/1t9MRspbK0,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAFusQhKNZAOH5aykCeK8qQL,korean,석·박사통합과정,2021,1R,19950921,2021,2R,4.5,7.0,50330000.0,54.5,38.25,자교,
135,135,5111,AAGCl7UztZ7Nh0n8uQlUEwL8,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,korean,석·박사통합과정,2018,1R,19930208,2021,2R,4.25,13.0,129770968.0,57.0,40.0,자교,
136,136,5114,AAG2R/8ZINtjO1IucDdff0KQ,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,korean,석·박사통합과정,2018,1R,19911130,2021,2R,4.39,13.0,122989299.0,52.0,33.0,자교,
139,139,5122,AAHvdBpneDzwGRk6QrO/GEt0,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEDRkBX7/Ql8YY92VjxsLch,korean,석·박사통합과정,2018,1R,19910524,2021,2R,4.36,13.0,126887000.0,42.6,41.8,자교,
141,141,5133,AAGINNU26dpFfhV0Xu3JbI8Z,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAHVMQxXZzh89KjrTenp6nPf,korean,석·박사통합과정,2021,1R,19931025,2021,2R,3.69,9.0,,56.0,32.0,타교,
144,144,5171,AAGWrRAofZ6jPVReHurDpR0J,공과대학,공학,2,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAFusQhKNZAOH5aykCeK8qQL,korean,석·박사통합과정,2018,2R,19920719,2021,2R,4.33,12.0,88502800.0,57.67,34.33,타교,
145,145,5172,AAHtwHQbLcbPgFPkQWYLTi+b,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAG3UgRiZnI8ns5BXTcxNxGC,korean,석·박사통합과정,2018,2R,19910219,2021,2R,4.14,12.0,102018580.0,56.67,37.33,타교,
146,146,5173,AAEOdhNIHWn8RSBuZ7NuiW4W,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석·박사통합과정,2018,2R,19890923,2021,2R,4.13,12.0,129045566.0,54.33,33.67,타교,
147,147,5174,AAEeLzOwBngVYjv5c0gLLuBv,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGG7IhUZDZBJWEpoDSv+a2p,korean,석·박사통합과정,2018,1R,19921117,2021,2R,4.17,13.0,150005448.0,50.0,39.5,자교,
148,148,5175,AAH3mmq1JNIwbP21OGLQ/4r2,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석·박사통합과정,2018,1R,19890918,2021,2R,4.04,13.0,64912500.0,50.0,31.5,타교,
149,149,5176,AAHASANEpgDSyziT0dBDmf3Z,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,석·박사통합과정,2018,1R,19901218,2021,2R,4.23,13.0,134265000.0,40.0,38.5,자교,
150,150,5177,AAFFzuEcbSkUCA0J6nTDkyJu,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,석·박사통합과정,2018,1R,19920911,2021,2R,4.33,13.0,137635000.0,57.0,39.5,자교,
151,151,5178,AAHEqgqk8Q8fiqmsTA7BXISC,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGaCMeTjNaKuSWvzyinL5sl,korean,석·박사통합과정,2018,1R,19911224,2021,2R,4.43,13.0,156648286.0,50.0,36.5,자교,
153,153,5196,AAEgZ/1AdpeKbpSNfZF6/AmI,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,korean,석·박사통합과정,2019,1R,19911017,2021,2R,4.13,12.0,197891165.0,57.0,40.0,자교,
156,156,5201,AAGIcbzEZr9Qxzohh08z0keQ,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석·박사통합과정,2018,2R,19920911,2021,2R,4.34,12.0,102907168.0,55.67,34.33,자교,
157,157,5208,AAGEDvnZy4hfHJLPCCwizArX,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAGtJM3euCvvqb5hTFq1uzz2,korean,석·박사통합과정,2019,1R,19911124,2021,2R,4.37,11.0,56200000.0,40.0,46.0,타교,
173,173,5330,AAFANaz4EEk0m49RbB+WY5AN,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAGrzQY08cilgBg2Vakpt/nx,korean,석·박사통합과정,2018,1R,19920202,2021,2R,4.05,13.0,183911348.0,47.0,45.67,자교,
174,174,5331,AAHH+IEVwxomDbKvVZVDv9NR,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAHc+0P1uuuM9uwKFqwm5JxB,korean,석·박사통합과정,2018,1R,19921231,2021,2R,4.37,13.0,192235000.0,45.0,41.33,자교,
175,175,5333,AAGrNObw6MtwEXWbeFCBRNoJ,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2020,1R,19960130,2021,2R,4.36,9.0,81600200.0,48.3,48.6,자교,
180,180,5369,AAFHBDv5pTkMBOaGEgOZO80d,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAF5ukSjmVhKqW326vTF81ef,korean,석·박사통합과정,2019,2R,19910928,2021,2R,4.14,10.0,76334676.0,40.33,41.67,타교,
181,181,5373,AAEqyX0CrFXWwEu3KcWbOoUo,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEssPEiUNe/wYugrxd+fnX2,korean,석·박사통합과정,2019,1R,19911201,2021,2R,4.17,11.0,135890407.0,39.3,38.2,자교,
187,187,5419,AAGXI90OCBVd0zEtCjPHYkrF,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFrKRhc4pBNk+lwpuzAzJxf,korean,석·박사통합과정,2019,2R,19910930,2021,2R,4.22,10.0,114666000.0,58.0,37.0,자교,
188,188,5420,AAFfAaecte53tg8tLAIGhQkd,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2019,1R,19900801,2021,2R,4.18,11.0,87655000.0,53.0,34.0,자교,
192,192,5456,AAEsECbwpi+INupmZ8eJeKiC,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAE4RWtRb5Aywzq18+9py2WY,korean,석·박사통합과정,2018,2R,19920430,2021,2R,4.14,12.0,95420000.0,59.0,40.0,타교,
195,195,5491,AAEn+M/kKNqtW6ru9vuhITKv,공과대학,공학,2,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFj8wKRZTXkoQ3FcBubZYe+,korean,석·박사통합과정,2018,1R,19881101,2021,2R,4.06,13.0,101615000.0,43.0,45.0,타교,
198,198,5537,AAGZCUkzXrcWvF+zyA0aexoX,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAGMb99a8ba3R0Wqe3C95yqe,korean,석·박사통합과정,2018,1R,19900314,2021,2R,4.33,13.0,178480511.0,49.5,49.5,자교,
199,199,5540,AAGOo0g0uyiPs2QAOOKcsWTj,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,석·박사통합과정,2019,1R,19930405,2021,2R,4.21,11.0,125583043.0,60.0,37.1,자교,
